filename,sample_bucket,category,package,take_actor,actor_height_cm,actor_gender,move_duration_frames,duration_s,content_body_position,content_type_of_movement,content_uniform_style,is_mirror,move_soma_uniform_path,move_g1_path
Jump_002__A019_M,jumping,Basic Locomotion Neutral,Locomotion,A019,165,M,4683,39.025,standing,jumping,neutral,True,soma_uniform/bvh/220705/Jump_002__A019_M.bvh,g1/csv/220705/Jump_002__A019_M.csv
Jump_002__A020,jumping,Basic Locomotion Neutral,Locomotion,A020,197,M,4718,39.31666666666667,standing,jumping,neutral,False,soma_uniform/bvh/220705/Jump_002__A020.bvh,g1/csv/220705/Jump_002__A020.csv
Jump_Left_001__A018_M,bulk,Basic Locomotion Neutral,Locomotion,A018,148,F,2484,20.7,standing,"jumping, turning",neutral,True,soma_uniform/bvh/220705/Jump_Left_001__A018_M.bvh,g1/csv/220705/Jump_Left_001__A018_M.csv
Jump_Left_001__A020_M,jumping,Basic Locomotion Neutral,Locomotion,A020,197,M,2488,20.733333333333334,standing,"jumping, turning",neutral,True,soma_uniform/bvh/220705/Jump_Left_001__A020_M.bvh,g1/csv/220705/Jump_Left_001__A020_M.csv
Jump_Left_002__A020,bulk,Basic Locomotion Neutral,Locomotion,A020,197,M,4397,36.641666666666666,standing,"jumping, turning",neutral,False,soma_uniform/bvh/220705/Jump_Left_002__A020.bvh,g1/csv/220705/Jump_Left_002__A020.csv
Jump_Right_001__A017,jumping,Baseline,Locomotion,A017,180,F,793,6.608333333333333,standing,jumping,neutral,False,soma_uniform/bvh/220705/Jump_Right_001__A017.bvh,g1/csv/220705/Jump_Right_001__A017.csv
Jump_Right_001__A018,jumping,Baseline,Locomotion,A018,148,F,833,6.941666666666666,standing,jumping,neutral,False,soma_uniform/bvh/220705/Jump_Right_001__A018.bvh,g1/csv/220705/Jump_Right_001__A018.csv
Jump_Right_001__A018_M,jumping,Baseline,Locomotion,A018,148,F,833,6.941666666666666,standing,jumping,neutral,True,soma_uniform/bvh/220705/Jump_Right_001__A018_M.bvh,g1/csv/220705/Jump_Right_001__A018_M.csv
Jump_Right_001__A019,bulk,Baseline,Locomotion,A019,165,M,883,7.358333333333333,standing,jumping,neutral,False,soma_uniform/bvh/220705/Jump_Right_001__A019.bvh,g1/csv/220705/Jump_Right_001__A019.csv
Jump_Right_001__A019_M,jumping,Baseline,Locomotion,A019,165,M,883,7.358333333333333,standing,jumping,neutral,True,soma_uniform/bvh/220705/Jump_Right_001__A019_M.bvh,g1/csv/220705/Jump_Right_001__A019_M.csv
Jump_Right_002__A017,jumping,Baseline,Locomotion,A017,180,F,6101,50.84166666666667,standing,jumping,neutral,False,soma_uniform/bvh/220705/Jump_Right_002__A017.bvh,g1/csv/220705/Jump_Right_002__A017.csv
Jump_Right_002__A017_M,bulk,Baseline,Locomotion,A017,180,F,6101,50.84166666666667,standing,jumping,neutral,True,soma_uniform/bvh/220705/Jump_Right_002__A017_M.bvh,g1/csv/220705/Jump_Right_002__A017_M.csv
Loop_Forward_Walk_001__A018,bulk,Basic Locomotion Neutral,Locomotion,A018,148,F,695,5.791666666666667,standing,walking,neutral,False,soma_uniform/bvh/220705/Loop_Forward_Walk_001__A018.bvh,g1/csv/220705/Loop_Forward_Walk_001__A018.csv
Loop_Forward_Walk_001__A018_M,bulk,Basic Locomotion Neutral,Locomotion,A018,148,F,695,5.791666666666667,standing,walking,neutral,True,soma_uniform/bvh/220705/Loop_Forward_Walk_001__A018_M.bvh,g1/csv/220705/Loop_Forward_Walk_001__A018_M.csv
